date,channel,campaign,objective,impressions,clicks,ctr_pct,cpc,spend,conversions,conversion_rate_pct,cac,revenue,roas,data_status
2020-11-01,Display,Remarketing,Conversion,12000,324,2.7,0.9,291.6,6,1.85,48.6,453.6,1.56,SIMULATED
2020-11-01,Google Ads,Brand Search,Search,32000,2938,9.18,1.1,3231.36,118,4.02,27.38,7991.36,2.47,SIMULATED
2020-11-01,Google Ads,Non-Brand Search,Search,24000,1166,4.86,1.65,1924.56,26,2.23,74.02,1846.94,0.96,SIMULATED
2020-11-01,Google Ads,Shopping,Sales,28000,1663,5.94,1.35,2245.32,47,2.83,47.77,3631.99,1.62,SIMULATED
2020-11-01,Meta Ads,Prospecting,Acquisition,30000,583,1.94,1.05,612.36,7,1.2,87.48,433.75,0.71,SIMULATED
2020-11-01,Meta Ads,Retargeting,Conversion,18000,622,3.46,1.25,777.6,22,3.54,35.35,1850.45,2.38,SIMULATED
2020-11-02,Display,Remarketing,Conversion,12205,324,2.65,0.9,291.17,6,1.85,48.53,453.6,1.56,SIMULATED
2020-11-02,Google Ads,Brand Search,Search,32547,2933,9.01,1.1,3226.59,117,3.99,27.58,7977.76,2.47,SIMULATED
2020-11-02,Google Ads,Non-Brand Search,Search,24410,1165,4.77,1.65,1921.72,26,2.23,73.91,1845.36,0.96,SIMULATED
2020-11-02,Google Ads,Shopping,Sales,28478,1661,5.83,1.35,2242.0,47,2.83,47.7,3627.62,1.62,SIMULATED
2020-11-02,Meta Ads,Prospecting,Acquisition,30513,582,1.91,1.05,611.46,7,1.2,87.35,433.01,0.71,SIMULATED
2020-11-02,Meta Ads,Retargeting,Conversion,18308,621,3.39,1.25,776.45,22,3.54,35.29,1847.48,2.38,SIMULATED
2020-11-03,Display,Remarketing,Conversion,12406,322,2.6,0.9,289.89,6,1.86,48.31,450.8,1.56,SIMULATED
2020-11-03,Google Ads,Brand Search,Search,33082,2920,8.83,1.1,3212.47,117,4.01,27.46,7942.4,2.47,SIMULATED
2020-11-03,Google Ads,Non-Brand Search,Search,24812,1160,4.68,1.65,1913.31,26,2.24,73.59,1837.44,0.96,SIMULATED
2020-11-03,Google Ads,Shopping,Sales,28947,1653,5.71,1.35,2232.19,46,2.78,48.53,3610.15,1.62,SIMULATED
2020-11-03,Meta Ads,Prospecting,Acquisition,31015,580,1.87,1.05,608.78,7,1.21,86.97,431.52,0.71,SIMULATED
2020-11-03,Meta Ads,Retargeting,Conversion,18609,618,3.32,1.25,773.05,22,3.56,35.14,1838.55,2.38,SIMULATED
2020-11-04,Display,Remarketing,Conversion,12598,320,2.54,0.9,287.83,6,1.88,47.97,448.0,1.56,SIMULATED
2020-11-04,Google Ads,Brand Search,Search,33596,2900,8.63,1.1,3189.55,116,4.0,27.5,7888.0,2.47,SIMULATED
2020-11-04,Google Ads,Non-Brand Search,Search,25197,1151,4.57,1.65,1899.66,25,2.17,75.99,1823.18,0.96,SIMULATED
2020-11-04,Google Ads,Shopping,Sales,29396,1642,5.59,1.35,2216.27,46,2.8,48.18,3586.13,1.62,SIMULATED
2020-11-04,Meta Ads,Prospecting,Acquisition,31496,576,1.83,1.05,604.44,7,1.22,86.35,428.54,0.71,SIMULATED
2020-11-04,Meta Ads,Retargeting,Conversion,18898,614,3.25,1.25,767.54,21,3.42,36.55,1826.65,2.38,SIMULATED
2020-11-05,Display,Remarketing,Conversion,12779,317,2.48,0.9,285.05,6,1.89,47.51,443.8,1.56,SIMULATED
2020-11-05,Google Ads,Brand Search,Search,34077,2872,8.43,1.1,3158.76,115,4.0,27.47,7811.84,2.47,SIMULATED
2020-11-05,Google Ads,Non-Brand Search,Search,25558,1140,4.46,1.65,1881.32,25,2.19,75.25,1805.76,0.96,SIMULATED
2020-11-05,Google Ads,Shopping,Sales,29817,1626,5.45,1.35,2194.88,46,2.83,47.71,3551.18,1.62,SIMULATED
