source,medium,users,sessions,product_views,add_to_carts,checkouts,purchasers,transactions,revenue,conversion_rate_pct,revenue_per_user,revenue_per_purchaser,aov,view_to_cart_rate_pct,cart_to_checkout_rate_pct,checkout_to_purchase_rate_pct,repeat_customer_rate_pct,recommendation_area
(data deleted),referral,3,2,9,0,1,0,0,0.0,0.0,0.0,,,0.0,,0.0,,Attribution Improvement
google,<Other>,1,1,0,0,0,0,0,0.0,0.0,0.0,,,,,,,Monitor Performance
<Other>,cpc,1,1,10,9,0,0,0,0.0,0.0,0.0,,,90.0,0.0,,,Funnel Investigation
<Other>,organic,10095,10084,9924,1503,805,97,118,8232.0,0.96,0.82,84.87,69.76,15.15,53.56,14.66,13.4,Funnel Investigation
google,cpc,15527,15538,14831,2033,1162,152,166,9056.0,0.98,0.58,59.58,54.55,13.71,57.16,14.29,8.55,Funnel Investigation
<Other>,<Other>,51037,51787,50969,7292,4452,499,606,35470.0,0.98,0.69,71.08,58.53,14.31,61.05,13.61,11.62,Conversion Optimization
google,organic,103487,111519,116917,16101,10642,1229,1454,95775.0,1.19,0.93,77.93,65.87,13.77,66.1,13.66,11.96,Conversion Optimization
(direct),(none),75951,82389,87916,13370,8597,1054,1251,79650.0,1.39,1.05,75.57,63.67,15.21,64.3,14.55,12.9,Conversion Optimization
<Other>,referral,32880,34116,36776,5708,3733,468,557,37000.0,1.42,1.13,79.06,66.43,15.52,65.4,14.92,12.61,Conversion Optimization
shop.googlemerchandisestore.com,referral,26065,28060,35418,6167,4437,568,701,46521.0,2.18,1.78,81.9,66.36,17.41,71.95,15.8,14.79,Scale Opportunity
<Other>,(data deleted),393,376,582,60,44,9,9,397.0,2.29,1.01,44.11,44.11,10.31,73.33,20.45,0.0,Attribution Improvement
(data deleted),(data deleted),17948,21097,32716,6300,4884,680,830,50064.0,3.79,2.79,73.62,60.32,19.26,77.52,16.99,14.26,Attribution Improvement
