date,users,sessions,page_views,product_views,add_to_carts,checkouts,shipping_info,payment_info,purchases,revenue
2020-11-01,2365,2594,9767,3380,4,127,127,73,14,773.0
2020-11-02,3262,3682,14964,4935,0,219,219,138,49,4789.0
2020-11-03,4648,5285,18665,5790,0,233,233,168,49,3313.0
2020-11-04,3734,4281,15799,5063,0,218,218,125,46,2197.0
2020-11-05,3272,3795,16249,5255,0,195,195,95,26,1792.0
2020-11-06,2813,3265,15232,5370,0,269,269,189,58,3438.0
2020-11-07,2004,2239,10814,3953,0,150,148,89,31,2531.0
2020-11-08,1919,2133,9598,3166,0,132,132,75,32,3760.0
2020-11-09,2805,3227,14009,4429,0,211,211,145,52,2154.0
2020-11-10,3260,3784,15606,5222,0,266,266,207,64,4041.0
2020-11-11,3296,3765,15938,5322,0,248,248,193,64,4428.0
2020-11-12,3179,3631,15040,4925,0,355,287,216,54,3349.0
2020-11-13,2860,3300,15722,5281,0,605,327,242,79,5831.0
2020-11-14,2076,2334,10737,3509,0,320,160,100,30,2338.0
2020-11-15,1957,2190,9913,3212,0,324,162,95,21,1483.0
2020-11-16,3085,3496,15208,4836,85,542,271,235,69,5046.0
2020-11-17,3449,4012,18098,6077,535,693,364,290,98,6227.0
2020-11-18,3505,4092,16751,5338,621,354,282,216,68,4575.0
2020-11-19,3566,4154,16677,5154,187,335,207,142,84,5752.0
2020-11-20,3477,4084,17856,6082,15,318,240,143,118,8792.0
2020-11-21,2755,3153,13278,4214,0,174,173,80,68,4336.0
2020-11-22,2359,2650,11497,3737,0,166,166,79,60,3428.0
2020-11-23,3421,3916,16358,5070,0,277,277,164,141,8482.0
2020-11-24,3821,4170,19352,6624,0,366,365,264,147,10345.0
2020-11-25,3988,4295,19898,6700,297,387,387,284,108,8121.0
2020-11-26,3626,4061,16738,5114,1047,321,321,170,57,4133.0
2020-11-27,3512,3928,16510,5216,1229,300,300,213,97,6699.0
2020-11-28,3010,3346,13590,4438,1076,245,245,175,78,6255.0
2020-11-29,2887,3207,12999,4095,811,246,201,152,51,3862.0
2020-11-30,3971,4516,21041,7132,1767,950,491,368,141,11990.0
2020-12-01,4308,4912,21511,6976,1653,732,379,270,107,6258.0
2020-12-02,4101,4759,19866,6441,1464,768,390,253,82,5201.0
2020-12-03,4464,5142,21359,7075,1286,775,392,242,90,4317.0
2020-12-04,4131,4678,20703,7349,1561,733,372,249,96,6458.0
2020-12-05,3082,3464,14975,4952,1063,591,298,197,87,6396.0
2020-12-06,2948,3303,13065,4043,791,434,219,111,42,2328.0
2020-12-07,4709,5410,21324,6872,1127,716,362,264,110,8472.0
2020-12-08,6689,7526,27130,7896,1775,990,501,355,122,8695.0
2020-12-09,5531,6211,24193,7801,1787,1016,512,389,150,10863.0
2020-12-10,5241,5759,24060,8108,1739,983,498,376,143,10756.0
2020-12-11,4948,5476,22212,7926,2135,933,472,336,160,10400.0
2020-12-12,3750,4088,16923,5674,1381,647,329,234,106,6284.0
2020-12-13,3402,3666,14322,4516,940,423,217,153,74,4395.0
2020-12-14,4552,5051,19470,6684,1528,725,372,246,99,8505.0
2020-12-15,4992,5680,20822,7348,1943,825,416,345,139,9738.0
2020-12-16,4820,5487,19236,6432,1710,833,417,375,143,11509.0
2020-12-17,4711,5283,18136,6142,1648,745,336,276,126,6745.0
2020-12-18,4261,4786,16028,5374,1629,938,324,236,107,6624.0
2020-12-19,3236,3558,10728,3113,776,526,177,115,52,2782.0
2020-12-20,2966,3247,8552,2389,535,375,127,62,20,1399.0
2020-12-21,3627,3952,12294,3542,841,534,180,112,53,3429.0
2020-12-22,3405,3793,12775,4286,1103,546,183,126,60,3230.0
2020-12-23,3123,3409,11356,3750,1116,589,197,155,67,4418.0
2020-12-24,2601,2774,7357,2271,483,188,63,47,23,1192.0
2020-12-25,2491,2624,5956,1639,462,202,68,47,17,552.0
2020-12-26,2472,2651,6291,1730,338,143,48,40,17,734.0
2020-12-27,2493,2646,6226,1681,500,211,71,52,20,1161.0
2020-12-28,3042,3329,9831,2638,633,302,101,81,36,2097.0
2020-12-29,3124,3401,11770,2308,556,239,80,67,24,1418.0
2020-12-30,2955,3183,10514,1863,400,263,93,62,37,1604.0
2020-12-31,2444,2588,8535,1639,444,252,84,60,25,2595.0
2021-01-01,2160,2289,7906,1498,295,162,54,33,14,975.0
2021-01-02,2581,2705,8450,1390,304,140,48,28,14,1026.0
2021-01-03,2579,2753,8812,1615,229,151,51,33,14,552.0
2021-01-04,3079,3319,11010,1983,396,183,61,50,16,834.0
2021-01-05,4101,4411,14850,2715,538,260,88,58,29,1143.0
2021-01-06,5486,5952,19233,3144,656,348,116,93,31,2000.0
2021-01-07,4171,4608,15375,2798,594,373,127,67,26,1452.0
2021-01-08,3803,4219,14381,2660,498,308,105,81,34,1699.0
2021-01-09,2958,3241,11035,2130,462,173,58,42,20,1363.0
2021-01-10,2772,2976,9674,1778,310,173,58,44,14,974.0
2021-01-11,3606,3918,13159,2444,537,280,94,73,28,1496.0
2021-01-12,4195,4679,16693,3315,745,428,145,95,48,2547.0
2021-01-13,4131,4478,15653,2990,665,398,134,92,36,1858.0
2021-01-14,3909,4322,15534,3268,684,469,162,124,54,3274.0
2021-01-15,3550,3894,13841,2981,572,383,133,98,47,2071.0
2021-01-16,2892,3149,10556,1938,357,281,97,50,27,1461.0
2021-01-17,2716,2960,9563,1566,301,193,66,47,14,481.0
2021-01-18,3226,3561,11332,1829,388,221,75,44,19,1223.0
2021-01-19,3713,4146,17099,3933,713,469,158,124,49,3756.0
2021-01-20,4222,4727,21007,5548,925,804,275,233,96,6706.0
